TICKER,EMPRESA,RATIO,INFO,INDUSTRIA
AAL,AMERICAN AIRLINES GROUP INC,2:1,Irregular,Transporte
AAPL,APPLE INC,10:1,Trimestral,Tecnología
ABBV,ABBVIE INC,10:1,Trimestral,Salud
ABEV,AMBEV SA-ADR,1:3,Semestral,Bebidas
ABT,ABBOTT LABORATORIES,4:1,Trimestral,Salud
ACHHY,ALUMINUM CORP OF CHINA-ADR,1:1,Irregular,Materiales
ADBE,ADOBE INC,22:1,Irregular,Tecnología
ADGO,ADECOAGRO SA,1:2,Ninguna,Agricultura
ADI,ANALOG DEVICES INC,15:1,Trimestral,Tecnología
ADP,AUTOMATIC DATA PROCESSING,6:1,Trimestral,Servicios
ADS,ADIDAS AG,22:1,Anual,Consumo
AEG,AEGON N.V.-NY REG SHR,1:1,Semestral,Finanzas
AEM,AGNICO EAGLE MINES LTD,3:1,Trimestral,Materiales
AIG,AMERICAN INTERNATIONAL GROUP,5:1,Trimestral,Finanzas
AKO.B,EMBOTELLADORA ANDINA S.A.,1:1,No informado,Bebidas
AMAT,APPLIED MATERIALS INC,5:1,Trimestral,Tecnología
AMD,ADVANCED MICRO DEVICES,10:1,Ninguna,Tecnología
AMGN,AMGEN INC,10:1,Trimestral,Salud
AMX,AMERICA MOVIL-SPN ADR CL L,1:1,Semestral,Telecomunicaciones
AMZN,AMAZON.COM INC,144:1,Ninguna,Consumo
ANF,ABERCROMBIE & FITCH CO-CL A,1:1,Irregular,Consumo
ARCO,ARCOS DORADOS HOLDINGS INC-A,1:2,No informado,Consumo
ASR,GRUPO AEROPORTUARIO SUR-ADR,20:1,Anual,Transporte
ATAD,TATNEFT PAO-SPONSORED ADR,4:1,Irregular,Energía
AUY,YAMANA GOLD INC,1:1,Trimestral,Materiales
AVGO,BROADCOM INC,39:1,Trimestral,Tecnología
AVY,AVERY DENNISON CORP,18:1,Trimestral,Materiales
AXP,AMERICAN EXPRESS CO,5:1,Trimestral,Finanzas
AZN,ASTRAZENECA PLC-SPONS ADR,2:1,Semestral,Salud
BA,BOEING CO/THE,6:1,Irregular,Transporte
BABA,ALIBABA GROUP HOLDING-SP ADR,9:1,Ninguna,Tecnología
BAC,BANK OF AMERICA CORP,2:1,Trimestral,Finanzas
BAS,BASF SE,2:1,Anual,Materiales
BAYN,BAYER AG-REG,3:1,Anual,Materiales
BB,BLACKBERRY LTD,3:1,Ninguna,Tecnología
BBD,BANCO BRADESCO-ADR,1:1,Irregular,Finanzas
BBVA,BANCO BILBAO VIZCAYA-SP ADR,1:1,Semestral,Finanzas
BCS,BARCLAYS PLC-SPONS ADR,1:1,Semestral,Finanzas
BHP,BHP GROUP LTD-SPON ADR,2:1,Semestral,Materiales
BIDU,BAIDU INC - SPON ADR,11:1,Ninguna,Tecnología
BIIB,BIOGEN INC,13:1,Ninguna,Salud
BIOX,BIOCERES CROP SOLUTIONS CORP,1:2,Ninguna,Agricultura
BK,BANK OF NEW YORK MELLON CORP,2:1,Trimestral,Finanzas
BMY,BRISTOL-MYERS SQUIBB CO,3:1,Trimestral,Salud
BNG,BUNGE LTD,5:1,Trimestral,Agricultura
BP,BP PLC-SPONS ADR,5:1,Trimestral,Energía
BRFS,BRF SA-ADR,1:3,Irregular,Consumo
BRKB,BERKSHIRE HATHAWAY INC-CL B,22:1,Ninguna,Finanzas
BSBR,BANCO SANTANDER BRASIL-ADS,1:1,Anual,Finanzas
BSN,DANONE,20:1,Anual,Consumo
C,CITIGROUP INC,3:1,Trimestral,Finanzas
CAAP,CORP AMERICA AIRPORTS SA,1:4,Ninguna,Transporte
CAH,CARDINAL HEALTH INC,3:1,Trimestral,Salud
CAJ,CANON INC-SPONS ADR,2:1,Semestral,Tecnología
CAR,AVIS BUDGET GROUP INC,26:1,Irregular,Transporte
CAT,CATERPILLAR INC,20:1,Trimestral,Materiales
CBD,CIA BRASILEIRA DE DIS- ADR,1:1,Anual,Consumo
CDE,COEUR MINING INC,1:1,Irregular,Materiales
CL,COLGATE-PALMOLIVE CO,3:1,Trimestral,Consumo
COIN,COINBASE GLOBAL INC,27:1,Ninguna,Finanzas
COST,COSTCO WHOLESALE CORP,48:1,Trimestral,Consumo
CRM,SALESFORCE INC,18:1,Ninguna,Tecnología
CS,CREDIT SUISSE GROUP-SPON ADR,1:1,Semestral,Finanzas
CSCO,CISCO SYSTEMS INC,5:1,Trimestral,Tecnología
CVX,CHEVRON CORP,8:1,Trimestral,Energía
CX,CEMEX SAB-SPONS ADR PART CER,1:1,Semestral,Materiales
DD,DUPONT DE NEMOURS INC,5:1,Trimestral,Materiales
DE,DEERE & CO,40:1,Trimestral,Industria
DEO,DIAGEO PLC-SPONSORED ADR,6:1,Semestral,Bebidas
DESP,DESPEGAR.COM CORP,1:1,Ninguna,Servicios
DIS,WALT DISNEY CO/THE,12:1,Semestral,Consumo
DOCU,DOCUSIGN INC,22:1,Ninguna,Tecnología
DOW,DOW INC,6:1,Trimestral,Materiales
DTEA,DEUTSCHE TELEKOM AG-SPON ADR,3:1,Anual,Telecomunicaciones
E,ENI SPA-SPONSORED ADR,4:1,Semestral,Energía
EA,ELECTRONIC ARTS INC,14:1,Trimestral,Tecnología
EBAY,EBAY INC,2:1,Trimestral,Servicios
EBR,CENTRAIS ELETRICAS BR-SP ADR,1:4,Irregular,Energía
EFX,EQUIFAX INC,16:1,Trimestral,Servicios
ELP,CIA PARANAENSE ENER-SP ADR P,1:3,Irregular,Energía
EOAN,E.ON SE,6:1,Anual,Energía
ERIC,ERICSSON (LM) TEL-SP ADR,2:1,Semestral,Telecomunicaciones
ERJ,EMBRAER SA-SPON ADR,1:1,Irregular,Transporte
ETSY,ETSY INC,16:1,Ninguna,Servicios
FCX,FREEPORT-MCMORAN INC,3:1,Trimestral,Materiales
FDX,FEDEX CORP,10:1,Trimestral,Transporte
FMCC,FREDDIE MAC,1:1,Irregular,Finanzas
FMX,FOMENTO ECONOMICO MEX-SP ADR,6:1,Semestral,Consumo
FNMA,FANNIE MAE,1:1,Irregular,Finanzas
FSLR,FIRST SOLAR INC,3:1,Ninguna,Energía
GE,GENERAL ELECTRIC CO,8:1,Trimestral,Industria
GFI,GOLD FIELDS LTD-SPONS ADR,1:1,Semestral,Materiales
