TICKER,NOMBRE,RATIO,FRECUENCIA,INDUSTRIA
AAL,AMERICAN AIRLINES GROUP INC,2:1,Irregular,Aerolíneas
AAPL,APPLE INC,10:1,Trimestral,Tecnología
ABBV,ABBVIE INC,10:1,Trimestral,Productos Farmacéuticos
ABEV,AMBEV SA-ADR,1:3,Semestral,Bienes de Consumo
ABT,ABBOTT LABORATORIES,4:1,Trimestral,Salud
ACHHY,ALUMINUM CORP OF CHINA-ADR,1:1,Irregular,Metales y Minería
ADBE,ADOBE INC,22:1,Irregular,Tecnología
ADGO,ADECOAGRO SA,1:2,Ninguna,Agricultura
ADI,ANALOG DEVICES INC,15:1,Trimestral,Semiconductores
ADP,AUTOMATIC DATA PROCESSING,6:1,Trimestral,Gestión del Capital Humano
ADS,ADIDAS AG,22:1,Anual,Bienes de Consumo
AEG,AEGON N.V.-NY REG SHR,1:1,Semestral,Seguros
AEM,AGNICO EAGLE MINES LTD,3:1,Trimestral,Minas
AIG,AMERICAN INTERNATIONAL GROUP,5:1,Trimestral,Seguros
AKO.B,EMBOTELLADORA ANDINA S.A.,1:1,No informado,Bienes de Consumo
AMAT,APPLIED MATERIALS INC,5:1,Trimestral,Semiconductores
AMD,ADVANCED MICRO DEVICES,10:1,Ninguna,Semiconductores
AMGN,AMGEN INC,10:1,Trimestral,Biotecnología
AMX,AMERICA MOVIL-SPN ADR CL L,1:1,Semestral,Telecomunicaciones
AMZN,AMAZON.COM INC,144:1,Ninguna,Comercio Electrónico
ANF,ABERCROMBIE & FITCH CO-CL A,1:1,Irregular,Bienes de Consumo
ARCO,ARCOS DORADOS HOLDINGS INC-A,1:2,No informado,Bienes de Consumo
ASR,GRUPO AEROPORTUARIO SUR-ADR,20:1,Anual,Operadores de Aeropuertos
ATAD,TATNEFT PAO-SPONSORED ADR,4:1,Irregular,Petrolero
AUY,YAMANA GOLD INC,1:1,Trimestral,Minas
AVGO,BROADCOM INC,39:1,Trimestral,Semiconductores
AVY,AVERY DENNISON CORP,18:1,Trimestral,Materiales
AXP,AMERICAN EXPRESS CO,5:1,Trimestral,Servicios Financieros
AZN,ASTRAZENECA PLC-SPONS ADR,2:1,Semestral,Productos Farmacéuticos
BA,BOEING CO/THE,6:1,Irregular,Aeroespacial
BABA,ALIBABA GROUP HOLDING-SP ADR,9:1,Ninguna,Comercio Electrónico
BAC,BANK OF AMERICA CORP,2:1,Trimestral,Servicios Financieros
BAS,BASF SE,2:1,Anual,Química
BAYN,BAYER AG-REG,3:1,Anual,Productos Farmacéuticos
BB,BLACKBERRY LTD,3:1,Ninguna,Tecnología
BBD,BANCO BRADESCO-ADR,1:1,Irregular,Servicios Financieros
BBVA,BANCO BILBAO VIZCAYA-SP ADR,1:1,Semestral,Servicios Financieros
BCS,BARCLAYS PLC-SPONS ADR,1:1,Semestral,Servicios Financieros
